participant_id,n_kids,n_algokids,p_trans,n_nece_compare,s_demo,network_id,replication,generation,condition,cloned,mean_trial_score,algorithm,algorithm_description,exclusion_flag
2894,6,6,0.8591549295774648,13,1.0,8,8,7,SSL,False,0.7787020313605839,1.0,"I clicked on the second tile from the left, and then the first (furthest left). Then whether they swapped or not, I next clicked on the third tile first and then the second. If they switched, I then clicked on the new second tile, and then the first. Whenever there is either no switch made, or the switch is made so that the tile furthest left changes, I would move down one further right from where I started the last time and start with that, then click the one next to it. If the one next to it switches, I would click that new one (move one tile over left), and then click the one to the left of that one next to see if it switches. Whenever it doesn't switch, move back right and go one further to the right than what you started with last time. ",False
2605,6,6,0.8591549295774648,12,1.0,5,5,6,SSL,False,0.7817909052874088,1.0,"1. Work from left to right
2. Compare the left most image with the one next to it
3. Compare the 2nd image with the 3rd image
3a. If they swap, then compare the 2nd image with the 1st image
3b. if they don't swap continue on
4. Compare 3rd image with the 4th image
4a. If they swap, then compare the 3rd image to the 2nd, if those swap then compare to the 1st
Continue this until you get through all 6 images",False
2902,6,6,0.8591549295774648,11,1.0,9,9,3,SSL,False,0.791801898526385,1.0,Start on the 2nd picture always and then pick the one in front of it till it will not move anymore.  Repeat for each next picture till it stops moving.  ,False
2969,6,6,0.8591549295774648,10,0.36787944117144233,9,9,7,SSL,False,0.799322805598469,1.0,"start with switching 2 and 1
then go to switch 3 and 2 (if they switch do step one again)
then switch 4 and 3 (if they switch do step 1 and 2 again)
then switch 5 and 4 (if they switch do step 1, 2 and 3 again)
then switch 6 and 5 (if they switch do step 1, 2, 3, and 4 again)

then by time you do all these steps none of the photos should move anymore and you will be correct.",False
2757,6,6,0.8591549295774648,13,1.0,7,7,5,SSL,False,0.8767954966556365,1.0,"Start with image 2 and then click on image 1. Then click on image 3, then 2. If they swap click on 2 then 1. If they do not swap click on image 4 then 3. If they swap click on 3 then 2. If they swap click on 2 then 1. if they do not swap click on 5 then 4. If they swap click your way back to position 1 till they do not swap. Then do image 6 the same way. ",False
2349,5,5,0.8360655737704918,11,1.0,2,2,4,SSL,False,0.8530660969622008,1.0,"Work through positions #1-6 (left to right) until the position swaps, then compare the swapped image to the images from right to left until it stops swapping. Repeat this with each image. For example:  Start with comparing #1 and #2. Then compare #2 and #3. If they swap, go back and compare #2 and #1. Then proceed to where you left off with position #3. Compare position #3 with position #4. If they swap, compare position #3 with position #2, if those positions swap, then compare #2 and #1. Then proceed to #4. Repeat until you get to the end and there's no more swapping.",False
2866,5,5,0.8360655737704918,12,0.36787944117144233,8,8,6,SSL,False,0.8954908827436301,1.0,"Basic insertion sort. Select an index i=1 (the first element) and another j=i+1. Compare i with j, if they are sorted, repeat with i=2, i=3, i=4 and so on. If they are not sorted, sort them (the images swap), decrement i and repeat the process.",False
3324,5,5,0.8360655737704918,10,1.0,2,2,10,SSL,False,0.6682732518896354,1.0,"I started with the 2nd picture from the left each time. I would match it against the picture to its left. If it moved, I would keep trying until it didn't move anymore. I would do this going toward the right side, until all photos had been tried going left. ",False
3074,5,5,0.8360655737704918,6,0.36787944117144233,10,10,7,SSL,False,0.8702745450797398,1.0,Tried to move pictures from left to right. Tried swap 2nd picture from left with 1st picture. if swap checked 3rd picture with second & second with first. Likwise i went left to right checking the pictures against others until they didn't swap.,False
2925,10,9,0.8198198198198198,9,0.36787944117144233,9,9,5,SSL,False,0.8726164145544765,1.0,"1. Choose 2nd picture from the left and 1st picture from the left.
2. Choose 3rd picture from the left and 2nd picture from the left.  If they swap, then do step 1.  
3. Choose 4th picture from the left and 3rd picture from the left.  If they swap, then do step 2.
4. Choose 5th picture from the left and 4th picture from the left.  If they swap, then do step 3.
5. Choose 6th picture from the left and 5th picture from the left.  If they swap, then do step 4.
6. All are now properly sorted - submit.

In effect, move each picture as far to the left as it needs to go (until swaps stop) and then go on to the next picture.",False
1273,4,4,0.803921568627451,13,1.0,20,10,7,RM,False,0.829393545737202,1.0,"I started with the second image and compared it to the left, then went to the third, if it moved I compared again with the left side trying to taket it as far to the left as possible. the trick is to take each image as far to the left as possible until it stops changing position, that is when you can go to the next image and repeat the process again ",False
2428,4,4,0.803921568627451,10,0.36787944117144233,2,2,5,SSL,False,0.6504277816065638,1.0,"Start with the second picture and compare it to the first.  If they switch, then go to the third picture and compare it to the second.  If they don't switch then go to the fourth picture and compare it to the third.  Continue this pattern until you reach the picture farthest to the right.",False
